      Time   Sample #  Type  Sub Chan  Num	Aux
    5:00.188    75047     N    0    0    0
    5:00.984    75246     N    0    0    0
    5:01.772    75443     N    0    0    0
    5:02.560    75640     N    0    0    0
    5:03.352    75838     N    0    0    0
    5:04.128    76032     N    0    0    0
    5:04.912    76228     N    0    0    0
    5:05.704    76426     N    0    0    0
    5:06.492    76623     N    0    0    0
    5:06.904    76726     V    0    0    0
    5:08.116    77029     N    0    0    0
    5:08.916    77229     N    0    0    0
    5:09.716    77429     N    0    0    0
    5:10.500    77625     N    0    0    0
    5:11.288    77822     N    0    0    0
    5:12.080    78020     N    0    0    0
    5:12.864    78216     N    0    0    0
    5:13.652    78413     N    0    0    0
    5:14.424    78606     N    0    0    0
    5:15.204    78801     N    0    0    0
    5:16.016    79004     N    0    0    0
    5:16.820    79205     N    0    0    0
    5:17.636    79409     N    0    0    0
    5:18.452    79613     N    0    0    0
    5:19.304    79826     N    0    0    0
    5:19.704    79926     V    0    0    0
    5:21.028    80257     N    0    0    0
    5:21.884    80471     N    0    0    0
    5:22.728    80682     N    0    0    0
    5:23.572    80893     N    0    0    0
    5:24.424    81106     N    0    0    0
    5:25.272    81318     N    0    0    0
    5:26.124    81531     N    0    0    0
    5:26.948    81737     N    0    0    0
    5:27.780    81945     N    0    0    0
    5:28.628    82157     N    0    0    0
    5:29.480    82370     N    0    0    0
    5:30.336    82584     N    0    0    0
    5:30.796    82699     V    0    0    0
    5:32.092    83023     N    0    0    0
    5:32.968    83242     N    0    0    0
    5:33.828    83457     N    0    0    0
    5:34.688    83672     N    0    0    0
    5:35.580    83895     N    0    0    0
    5:36.468    84117     N    0    0    0
    5:37.352    84338     N    0    0    0
    5:38.252    84563     N    0    0    0
    5:39.116    84779     N    0    0    0
    5:39.520    84880     V    0    0    0
    5:40.884    85221     N    0    0    0
    5:41.768    85442     N    0    0    0
    5:42.620    85655     N    0    0    0
    5:43.476    85869     N    0    0    0
    5:44.324    86081     N    0    0    0
    5:45.172    86293     N    0    0    0
    5:45.996    86499     N    0    0    0
    5:46.820    86705     N    0    0    0
    5:47.660    86915     N    0    0    0
    5:48.516    87129     N    0    0    0
    5:49.392    87348     N    0    0    0
    5:50.252    87563     N    0    0    0
    5:51.128    87782     N    0    0    0
    5:52.040    88010     N    0    0    0
    5:52.932    88233     N    0    0    0
    5:53.432    88358     V    0    0    0
    5:54.704    88676     N    0    0    0
    5:55.580    88895     N    0    0    0
    5:56.444    89111     N    0    0    0
    5:57.300    89325     N    0    0    0
    5:58.132    89533     N    0    0    0
    5:58.992    89748     N    0    0    0
    5:59.844    89961     N    0    0    0
